Swedish,English
arbetade,worked
jenny,Jenny
låst,locked
perfekta,Perfect
översatt,translated
operation,Operation
c,c
byter,Switch
förväntar,Expect
abby,Abby
poängen,The point
magen,The stomach
planeten,the planet
grace,Grace
märker,Notice
tacksam,grateful
panik,panic
nått,reached
höga,High
nödvändigt,necessary
alternativ,alternative
ledde,led
tyska,German
kollat,checked
sjukt,Sick
vinden,the wind
inuti,Inside
räddar,Saves
normal,normal
tillfället,the occasion
musiken,The music
still,Still
fredag,Friday
kämpar,Fighters
cia,Cia
månaden,the month
inspektör,inspector
förstört,ruined
bilderna,the pictures
grabb,Guy
rykte,reputation
född,born
röka,smoke
mening,sentence
förbannade,cursed
kelly,Kelly
klänning,dress
bråka,fight
kläderna,The clothes
kall,cold
saknade,Missing
svåra,Difficult
byggde,Built
stig,path
fortare,faster
otrolig,incredible
bitti,Bitti
öppnade,opened
förvirrad,confused
b,b
uppenbarligen,Obviously
annie,Annie
tomt,plot
cool,Cool
herren,The Lord
kyssa,kiss
mod,Courage
patient,patient
knä,knee
lyckats,succeeded
långsamt,slowly
lägenheten,The apartment
vitt,White
dej,DA
kompisar,Friends
kilo,kilo
skära,cut
m,m
fungerade,Worked
program,program
julia,Julia
skrämma,scare
betyda,mean
rörde,touched
legat,Law
botten,bottom
planerar,Planning
språk,language
sparka,kick
scenen,The scene
bud,bid
mars,March
råkade,happened
fingeravtryck,fingerprint
julie,Julie
slagit,struck
vars,whose
naken,naked
lådan,The box
snarare,rather
lördag,Saturday
ting,ting
åsikt,opinion
käft,jaw
byn,The village
kim,Kim
for,For
brinner,burns
lögnare,liar
flaska,bottle
kalifornien,California
syn,sight
paus,Pause
rosa,pink
upptäckte,discovered
armen,The arm
bestämde,decided
hitler,Hitler
styra,steer
överlevde,survived
stryk,Stroke
erfarenhet,experience
lade,laid
besöka,visit
filmer,Movies
längs,along
imponerande,impressive
andre,second
bomb,Bomb
europa,Europe
druckit,Drunk
växa,grow
familjer,Families
uppför,up
söta,Sweet
gisslan,hostage
ligg,Lie
behov,needs
elva,eleven
by,village
störa,interfere with
gäster,Guests
fakta,Facts
lågt,low
sjukdom,disease
sheriff,sheriff
tider,times
vunnit,won
lust,desire
knäpp,wacky
pressen,The press
behåll,keep
stjäl,steal
mera,more
nätet,The net
tydligt,clearly
läkaren,the doctor
kroppar,bodies
fjärde,fourth
bög,gay
gratulerar,Congratulations
rock,coat
bomben,the bomb
enkel,simple
snuten,The cop
pojkarna,The boys
varifrån,from where
finna,find
blind,blind
åratal,years
chicago,Chicago
ytterligare,further
ah,Ah
da,da
ledigt,free
djävulen,The devil
suttit,Sit
gary,Gary
sång,singing
tufft,Tough
hästar,Horses
fantastiska,Fantastic
texas,Texas
rick,Rick
fruktansvärt,Terrible
lady,Lady
yngre,younger
victor,Victor
starkt,strong
såhär,like this
robin,Robin
flygplatsen,Airport
svärd,sword
howard,Howard
förbannad,cursed
laura,Laura
skadar,hurting
skrika,scream
lyssnade,Listened
såja,so yes
viktigare,More important
fy,Fy
mitten,middle
skrek,screamed
orden,the words
totalt,Total
larry,Larry
verkliga,Real
risk,risk
hörnet,The corner
mirakel,miracle
krossa,crush
gammalt,Old
pund,pound
nivå,level
hejdå,bye
halvtimme,half an hour
amanda,Amanda
sur,sour
drottningen,The queen
längst,farthest
konst,art
vittne,witness
programmet,the program
universum,universe
radion,the radio
modig,brave
personligen,personally
park,park
erbjuder,offers
maggie,Maggie
träffats,met
kvinnorna,The women
mörka,Dark
signal,signal
godnatt,good night
ledig,free
mesta,Most of it
märke,make
prins,prince
träff,hit
cancer,Cancer
dödades,was killed
favorit,favorite
elden,the fire
röker,smokes
därinne,in there
snygga,Stylish
näsan,the nose
människan,the human
elizabeth,Elizabeth
hjälpt,helped
marcus,Marcus
doug,Doug
labbet,the lab
tim,Tim
mans,mans
måndag,Monday
benet,The leg
gömde,hid
förde,led
datorn,computer
ögat,the eye
elak,mean
smith,Smith
rättvist,fair
månen,the moon
tyskland,Germany
komplicerat,complicated
erbjuda,offer
fylla,fill
köp,buy
skulden,the blame
jävlas,Damn
visat,Visa
jackie,Jackie
äckligt,Disgusting
polare,Polar
undersöka,examine
kula,ball
nyfiken,curious
fönster,window
använt,used
ställen,places
mjölk,milk
roger,Roger
oskyldiga,Innocent
varning,warning
risken,the risk
brevet,the letter
rygg,back
fixade,fixed
stängt,closed
ross,Ross
finner,finds
josh,Josh
mänskliga,human
meddela,inform
amen,Amen
hälsar,greets
kulor,Balls
kniven,The knife
ende,Ende
glädje,Joy
humör,humor
underbara,wonderful
märkt,marked
kollega,colleague
känn,Feel
tunga,tongue
data,data
hannah,Hannah
vegas,Vegas
gruppen,The group
befinner,is located
angeles,Angeles
foto,photo
linda,wind
snut,cop
skäms,ashamed
dans,dance
gräva,dig
taylor,Taylor
konstiga,Strange
helen,Helen
vuxna,adults
därute,out there
satan,Satan
smärtan,The pain
funka,work
äran,The honor
dean,Dean
flyg,flight
utredningen,the investigation
hank,Hank
rött,RED
tappa,lose
sean,Sean
räknas,counts
anar,Anar
alltför,too
donna,Donna
våningen,The floor
fitta,pussy
bravo,Bravo
funderar,Think
gäst,guest
morfar,grandfather
falla,fall
miles,Miles
punkt,point
hemlig,secret
frågat,asked
detaljer,Details
tappar,drops
nathan,Nathan
missat,Missed
roliga,Fun
trott,believed
grader,degrees
kamera,camera
misslyckas,fail
lösning,solution
skador,Injuries
oskadd,unharmed
spelat,played
ambulans,ambulance
flydde,escaped
tjugo,twenty
hundratals,Hundreds
hörs,is heard
whisky,whiskey
tåg,train
besatt,obsessed
lön,salary
simma,swim
kod,code
existerar,exists
lögner,lies
intresse,interest
träna,train
bruce,Bruce
tillåter,allows
parken,The park
hämnas,revenge
avstånd,distance
gröna,Green
tvivlar,doubt
kina,China
molly,Molly
skjuts,ride
rapportera,Report
sommaren,Summer
show,show
livs,life
karen,Karen
våran,Spring
bron,The bridge
tålamod,patience
you,You
släkt,family
gubben,The old man
uppgift,task
gibbs,Gibbs
res,res
hittills,to date
straff,penalty
samvete,conscience
domaren,The judge
jamie,Jamie
grymt,cruelly
store,Store
stjärna,star
kurs,course
informationen,the information
school,School
rad,row
patrick,Patrick
begravning,funeral
söndag,Sunday
bäste,best
klocka,clock
personliga,personal
mardröm,nightmare
kontrollen,control
mobilen,the mobile
sidor,sides
ödet,Fate
erbjöd,offered
leonard,Leonard
lukten,The smell
April,April
ljudet,the sound
funderat,pondered
sovit,slept
tyskarna,The Germans
vänlig,friendly
handla,act
kunder,Customers
lysande,brilliant
knullar,Fucking
resultat,results
gräs,grass
glass,ice cream
mexiko,Mexico
sistone,lately
plikt,duty
smak,taste
ungen,The kid
närmaste,closest
geni,genius
verkligheten,reality
drag,features
riskera,risk
cole,Cole
drömde,dreamed
valet,the choice
ro,RO
verkligt,real
bråk,fraction
väcka,arouse
teori,theory
promenad,walk
roy,Roy
skillnaden,The difference
king,King
erkänner,Acknowledges
prinsessan,Princess
rita,draw
hatade,hated
bergen,Bergen
lös,loose
sinne,mind
champagne,Champagne
levt,lived
kl,At
flyttat,Moved
carrie,Carrie
göras,be done
önska,wish
ångrar,regretting
präst,priest
adressen,the address
strunt,rubbish
ångra,Undo
ändrade,changed
pizza,pizza
sann,TRUE
anne,Anne
likt,like
mänsklig,human
eva,Eva
ond,evil
vännen,The friend
sanna,Sanna
lider,Suffering
klok,wise
kostym,suit
blöder,bleeding
brud,bride
upptäckt,discovered
löst,loosely
beter,Beter
gripa,arrest
scen,scene
radio,radio
falska,False
bank,Bank
bott,lived
författare,Author
flyr,flee
skrämmande,scary
förklaring,explanation
byxor,pants
gordon,Gordon
strunta,Ignore
hörru,Listen
välj,Choose
behandlar,treats
klarat,passed
ma,MA
projekt,project
sjön,Lake
godis,candy
startade,Started
typen,The type
varna,warn
anfall,attack
löfte,promise
svårare,More difficult
funnits,existed
startar,Starts
behandla,treat
kontrakt,contract
märkte,noticed
penny,penny
utrustning,equipment
rymden,space
beroende,dependent
attack,attack
brydde,Breeded
högst,at most
amerikansk,American
ryska,Russian
agenter,agents
tyler,Tyler
historier,Stories
svek,betrayal
staten,the state
vakter,Guards
vägrade,refused
bytte,changed
delta,participate
drömmer,Dreaming
bröd,bread
ängel,Angel
dock,though
lyft,lift
cooper,Cooper
jesse,Jesse
vittnen,Witnesses
sexig,sexy
lex,Lex
kyckling,chicken
gemensamt,commonly
brown,Brown
grym,cruel
hotade,endangered
anledningen,the reason
försvunnen,missing
funkade,Worked
mage,stomach
togs,was taken
soffan,The sofa
jord,soil
låda,box
pinsamt,Embarrassing
hämtade,Retrieved
nyckel,key
frid,peace
prov,sample
fullständigt,completely
sväng,turn
hästen,The horse
kommissarie,commissar
internet,Internet
jay,Jay
stämma,meeting
farliga,dangerous
jacob,Jacob
trivs,thrive
enorm,huge
övertyga,convince
låtit,sounded
fritt,free
lida,suffer
utredning,investigation
olagligt,illegally
källa,source
tystnad,silence
färdigt,Finished
tas,taken
patienter,Patients
verka,act
galning,madman
het,hot
midnatt,midnight
sprit,spirits
maskinen,the machine
talang,talent
kartan,The map
greg,Greg
tok,fool
driva,drive
otrogen,unfaithful
filma,film
mötte,met
terry,Terry
bruden,The bride
kring,around
förlåter,forgives
ordförande,President
respekterar,respects
wayne,Wayne
icke,non
restaurang,restaurant
marty,Marty
fixat,fixed
kvarter,block
sällan,rarely
fötterna,feet
skrik,cry
erbjudande,offer
badrummet,The bathroom
stoppade,Stopped
inre,internal
grät,Crying
förmåga,ability
ändrat,changed
vände,turned
itu,ITU
medborgare,national
choklad,chocolate
skönhet,beauty
krigare,warrior
basen,the base
publiken,The audience
monsieur,Monsieur
seger,Victory
syfte,Purpose
döljer,Hides
aaron,Aaron
tvingar,forces
fågel,bird
klokt,wisely
skaffar,Obtains
ful,ugly
klär,Dress
känslan,The feeling
rök,smoke
undra,wonder
armar,arms
fortsatte,continued
röven,The ass
ex,ex
bortom,beyond
allvarlig,serious
andrew,Andrew
lyder,obey
byggt,Built
operationen,the operation
baksidan,the back
njuta,enjoy
betydde,meant
samarbeta,cooperate
våga,dare
frankie,Frankie
sår,wound
madame,Madame
riskerar,risk
fet,fat
miller,Miller
edward,Edward
marie,Marie
systrar,Sisters
porten,the gate
jessica,Jessica
black,Black
öknen,The desert
uppenbart,Obviously
ryssarna,The Russians
moster,aunt
accepterar,accepts
identifiera,identify
fånge,Prisoner
paket,package
stulit,stolen
lucas,Lucas
gay,Gay
sâ,sâ
ron,ron
kopia,copy
hatt,hat
gissar,guessing
betalat,paid
lngen,Long
villig,willing
sågs,Saw
tjuv,thief
sorg,sorrow
maskin,machine
skorna,The shoes
schyst,Schyst
led,LED
sämre,inferior
house,House
förhör,hearing
älskat,Loved
skar,scarf
hata,hate
trygg,safe
sena,Late
önskan,wish
avgöra,determine
ethan,Ethan
hängde,hung
heta,hot
nina,Nina
hey,Hey
cirka,about
skaka,shake
uppgifter,tasks
west,West
vänskap,Friendship
misstänkta,suspects
försvunnit,disappeared
makten,Power
hyra,rent
desperat,desperate
röv,ass
walker,Walker
enbart,solely
leende,smiling
käre,Dear
morbror,uncle
examen,degree
trick,trick
såvida,As far as
spränga,blast
färdiga,finished
påverkar,affect
beredda,prepared
rapporten,the report
oftast,Most often
derek,Derek
utföra,perform
låsa,lock
miami,Miami
gatorna,The streets
idén,The idea
johnson,Johnson
söner,Sons
insidan,Inside
steven,Steven
spöke,ghost
jagade,hunting
gevär,rifle
skapat,Created
svartsjuk,jealous
bränna,burn
medlem,member
gården,the yard
allas,everyone's
varnade,Warned
täcker,covers
granne,neighbour
seriöst,seriously
fotboll,football
behövt,needed
fryser,freezes
nate,nate
afrika,Africa
läge,location
dyka,dive
nåväl,Well
misstänkte,suspected
beth,Beth
senator,senator
hotar,threatens
bitar,pieces
typiskt,typical
rättigheter,Rights
regel,rule
island,Iceland
lurar,lurks
norrut,north
strålande,brilliant
slyna,slut
trappan,The stairs
koncentrera,concentrate
öron,ears
oskuld,innocence
medveten,aware
bekräfta,confirm
kraften,the power
hårda,Hard
bevisen,the evidence
fantasi,fantasy
mördades,was murdered
grönt,green
döma,judge
sålt,Sold
stinker,smells
byxorna,The trousers
marknaden,the market
trycka,press
privata,private
earl,Earl
am,Am
innehåller,contains
utbildning,training
albert,Albert
föda,food
professorn,the professor
verklig,real
häng,Hang
slogs,was struck
gulligt,Cute
höghet,Highness
lägret,the camp
femte,fifth
minnet,The memory
personal,staff
litade,trusted
meddelandet,message
samlar,gathers
officiellt,officially
vägar,ways
media,Media
ställt,Set
doc,DOC
fingrar,fingers
inbrott,burglary
trubbel,trouble
dyrt,Expensive
reste,traveled
klippa,cut
tvärtom,on the contrary
tyder,suggests
clay,Clay
davis,Davis
g,g
förtjänade,earned
casey,Casey
sally,Sally
ordnat,arranged
flottan,The fleet
allra,very
foton,photos
angår,concerns
skyldiga,owe
kliv,stride
hitåt,this way
följt,followed
antal,Quantity
charlotte,Charlotte
brutit,broken
wilson,Wilson
vakterna,The guards
däck,deck
spelare,player
ost,cheese
rebecca,Rebecca
förälskad,in love
flygplan,aircraft
vikt,weight
klänningen,The dress
katie,Katie
restaurangen,The restaurant
h,hrs
kännas,feel
raka,straight
tvungna,forced
katten,the cat
linje,line
fångade,caught
vincent,Vincent
miljarder,billions
tänderna,The teeth
vädret,The weather
försiktiga,Careful
röster,Voices
försvar,defense
rida,ride
kvittar,does not matter
förbereda,prepare
hjälpen,The help
verk,work
faster,aunt
låten,The song
svensk,Swedish
berlin,Berlin
sårad,wounded
otur,bad luck
kamp,struggle
naturen,Nature
motiv,motif
oscar,Oscar
behåller,retains
arslet,ass
junior,junior
firar,Celebrating
förrädare,betrayer
mamman,Mom
biljetter,Tickets
jakt,hunting
njut,enjoy
yeah,yeah
kommissarien,Commissioner
cent,cent
dubbelt,twice
test,Test
ler,smiles
arbetat,worked
rättegång,trial
avsnitt,Episode
förbered,Prepare
häxa,witch
möt,Meet
kommendör,commander
carol,Carol
påminna,remind
storlek,size
ovanför,above
beteende,behavior
florida,Florida
skam,shame
motorn,The engine
hårdare,harder
läskigt,Scary
signalen,The signal
berget,The mountain
skumt,weird
lovat,promised
parker,parks
brände,burned
meddelanden,messages
jobbig,annoying
todd,todd
grav,grave
maste,must
utnyttja,use
samhället,Society
framgång,success
inklusive,including
närvaro,presence
björn,bear
lyckligt,Happy
ryssland,Russia
kulan,The ball
äventyr,adventure
hurså,HOW SO
nacken,neck
mors,Mother
star,Star
gudarna,The gods
orsaken,the cause
nycklar,Keys
berättelse,story
öka,increase
dåre,fool
villkor,terms
rån,robbery
silver,silver
anställda,employees
räcka,hand
hud,skin
satsa,invest
linjen,The line
bete,bait
showen,The show
strömmen,the current
post,mail
borgmästaren,The mayor
trädet,the tree
helg,weekend
ton,tone
ingår,included
imponerad,Impressed
läger,camp
möjliga,possible
stolen,The chair
barnbarn,grandchild
ansvaret,responsibility
cell,cell
noll,zero
trycker,presses
bio,cinema
randy,Randy
speciella,Special
slängde,threw
morden,The murder
andras,others
serena,Serena
värdelös,Useless
nä,Nah
förtroende,Trust
kontakter,Contacts
skräp,debris
klubb,club
experiment,experiment
September,September
bakåt,backwards
kontanter,cash
amerikaner,Americans
kända,known
emellan,between
åklagaren,The prosecutor
sött,sweet
alkohol,alcohol
kokain,cocaine
klättra,climb
forskning,research
trist,sad
hissen,The elevator
tål,tolerate
motstånd,resistance
stilig,stylish
skjutit,shot
grant,Grant
expert,expert
läxa,lesson
betty,Betty
hinna,Hinn
pojk,boy
borgmästare,Mayor
hörni,corner
katastrof,disaster
rösta,vote
lyfta,lift
tjänare,servant
extremt,Extremely
bränner,Burns
myndigheterna,authorities
används,used
föräldrarna,the parents
fula,ugly
ursäktar,apologies
jess,Jess
bevisar,proves
koden,the code
stått,Stood
snubben,The guy
förstärkning,strengthening
finger,finger
nancy,Nancy
rösten,The voice
ellen,Ellen
regering,government
ilska,anger
förhindra,prevent
vilar,resting
sänder,Sends
idioten,The idiot
främling,stranger
agera,act
subba,Subb
stängde,closed
hemifrån,from home
räddat,saved
bitch,Bitch
misslyckades,failed
allison,Allison
förändring,change
tomma,Empty
jennifer,Jennifer
ledtråd,clue
möjligheter,possibility
uh,uh
buss,bus
liz,liz
bryt,Break
orsakade,caused
näsa,nose
bebis,Baby
längtar,Longing
offra,sacrifice
norra,North
vilda,Wild
bauer,Bauer
blunda,Close
underligt,strange
högra,right
artikel,Article
planerade,Planned
harold,Harold
besegra,defeat
tomten,The plot
piller,pill
hålet,the hole
framsteg,progress
mörk,dark
andetag,breath
normala,normal
ytan,the surface
södra,South
teamet,The team
rymma,accommodate
nämna,mention
pappan,Dad
carlos,Carlos
politik,policy
kund,customer
ökar,increases
berg,Mountain
ö,island
biten,Bit
pang,Pang
måla,paint
torsdag,Thursday
viruset,the virus
torka,dry
marshall,Marshall
ande,Spirit
grön,Green
trasig,broken
identitet,identity
kram,hug
spänn,buckles
sons,Sons
krav,requirement
magiska,magic
dörrarna,the doors
hindrar,prevents
kaos,chaos
misstänker,Suspects
inlåst,Locked
enhet,unit
ladda,load
slita,tear
befria,free
palmer,Palmer
skämta,joke
knark,dope
foten,the foot
feta,FET
hall,hall
värde,value
klädd,dressed
vittna,testify
kämpade,fought
blanda,mix
evighet,eternity
forskare,researcher
sophie,Sophie
sjutton,seventeen
zoe,zoe
dygnet,The day
spion,spy
farsan,Dad
jacka,jacket
föremål,subject
åter,re
kyrka,Church
videon,The video
japan,Japanese
femton,Fifteen
slösa,waste
kaptenen,The captain
gjord,made
jodå,Yes
spanska,Spanish
roman,novel
enklare,Easier
blair,Blair
erik,Erik
white,White
krossade,crushed
stephen,Stephen
ögonblicket,a moment
chffffff,Chffff
sorgligt,Sad
elliot,Elliot
främmande,foreign
gripen,Gripen
härlig,lovely
socker,sugar
avslöjar,reveals
megan,Megan
gömt,Hidden
känslig,sensitive
teknik,technique
kunskap,knowledge
avtalet,the agreement
angela,Angela
förste,First
läcker,delicious
tröja,sweater
herrejävlar,Holy shit
kontrollerar,checks
mänskligheten,humanity
viset,The wise
harvey,Harvey
lou,Lou
jonathan,Jonathan
tips,tip
jisses,Jisses
pröva,try
förlåtelse,forgiveness
lidande,suffering
mm,mm
sömn,sleep
hat,hatred
hollywood,Hollywood
flaskan,The bottle
stolta,Proud
garaget,The garage
lana,Lana
skatt,tax
offren,the victims
älskare,lover
lincoln,Lincoln
lojalitet,loyalty
tungt,heavy
dokument,document
rykten,Rumors
sök,search
kvart,quarter
brudar,Brides
boston,Boston
värst,worst
rymde,escaped
stormen,The storm
suga,suck
naturligt,Naturally
toa,loo
travis,Travis
apa,monkey
as,as
kontakten,the contact
gänget,The gang
sovrum,bedroom
skilja,distinguish
koppling,coupling
nye,New
material,material
studera,study
jude,Jude
byt,Change
tidning,newspaper
tvivel,doubt
lokala,Local
domstolen,the court
kortet,the card
lätta,Lighten
audrey,Audrey
hjärtan,hearts
egendom,property
ägaren,the owner
sheldon,Sheldon
förhoppningsvis,hopefully
utbyte,exchange
spegeln,The mirror
elena,Elena
vakta,guard
penna,Pen
säsong,season
fotot,The photo
jeremy,Jeremy
avslutar,Ends
handlingar,actions
jordan,Jordan
förändrar,changes
gris,pig
norr,north
sommar,summer
medel,average
kysste,kissed
fördel,advantage
oroliga,worried
grabbarna,the boys
trädgården,The garden
skyddade,protected
juli,July
arga,Angry
spöken,ghosts
karta,map
green,Green
mcgee,McGee
korrekt,correctly
sovrummet,the bedroom
stol,chair
besvär,trouble
brad,Brad
vakten,The guard
italien,Italy
service,service
bråkar,fighting
själar,souls
usel,lousy
juni,June
inbjudan,invitation
dennis,Dennis
lewis,Lewis
korridoren,the corridor
besökte,visited
rider,Rider
olja,oil
seth,Seth
fattat,grasped
lastbilen,the truck
beställa,order
slänga,throw
halvt,half
stannat,stayed
överenskommelse,agreement
tittat,looked
drömt,Dreamed
f,f
blåser,Blowing
olivia,Olivia
fattiga,Poor
söderut,south
check,check
norman,Norman
drake,Dragon
rensa,clear
michelle,Michelle
skadat,damaged
stiger,rises
snack,Snack
djup,depth
kristus,Christ
stunden,the moment
enkla,Simple
påverka,affect
modern,modern
mac,Mac
kakor,cookies
skådespelare,actor
maj,May
tillbringa,Spend
smarta,Smart
olyckan,The accident
tränar,Exercises
road,Road
anthony,Anthony
kvitt,Get rid of
barbara,Barbara
art,species
kollegor,colleagues
neil,Neil
ljugit,lied
kostade,cost
mason,Mason
stjärnorna,the stars
möts,Meet
betydelse,meaning
dragit,Drawn
fran,from
anta,adopt
tung,heavy
godmorgon,good morning
julen,Christmas
grann,Damn
right,Right
skiljer,different
tillhörde,belonged
attjag,that I
vince,Vince
vansinne,madness
tron,throne
delade,Shared
användas,be used
gränser,boundaries
salt,salt
hals,throat
video,video
halvår,six months
resultatet,The result
korkad,stupid
storm,storm
rörelse,movement
humor,humor
skrattade,laughed
träning,exercise
banan,banana
närvarande,present
v,v
bekymmer,concern
kanon,cannon
förbannat,Cursed
snett,obliquely
williams,Williams
martha,Martha
grannar,neighbors
modell,model
rättegången,the trial
ansikten,faces
knipa,fix
skoj,fun
gråt,crying
mådde,felt
biljett,ticket
samarbetar,Collaborates
jättekul,Great fun
teddy,teddy
möjligheten,The opportunity
bensin,petrol
drömmen,The dream
tant,aunt
slöseri,Waste
förblir,remains
joseph,Joseph
härinne,here
at,at
arsle,Arsle
skugga,shadow
likadana,Similar
begick,committed
svärdet,the sword
väckte,aroused
advokater,lawyers
landa,land
press,press
fåglar,Birds
fingrarna,fingers
fången,captive
förlorare,loser
catherine,Catherine
intervju,interview
anmäla,Report
dussin,dozen
alibi,alibi
raymond,Raymond
brottsplatsen,the crime scene
folks,people
beslutet,the decision
testar,Tests
virginia,Virginia
judar,Jews
behandling,treatment
uppskatta,appreciate
synder,sins
enorma,huge
fattade,took
återvände,returned
hoppet,Hope
släng,Throw
amerikan,American
okänd,unknown
stolthet,pride
bluff,bluff
dras,drawn
logan,Logan
bröstet,The chest
miste,Miste
utför,perform
stirrar,stare
l.a.,la.
beskriva,describe
förhandla,negotiate
stängd,closed
knullade,Fucked
dylan,Dylan
patienten,the patient
begravningen,the funeral
tisdag,Tuesday
länder,countries
jävlarna,The bastard
bada,bathe
stötte,bumped
somna,fall asleep
malcolm,Malcolm
utrymme,space
överlämna,submit
sikta,Aim
julian,Julian
to,to
upprepar,Repeats
beväpnad,armed
djuren,the animals
övertala,persuade
dörrar,doors
sverige,Sweden
fartyg,Ship
svaga,Weak
förlust,loss
glasögon,glasses
affärerna,The business
strider,battles
snubbe,dude
slottet,the castle
inblandade,involved
gabriel,Gabriel
begrava,bury
skjorta,shirt
hmm,Hmm
avdelning,section
årets,This year's
vd,CEO
vinnare,winner
rest,residual
mitch,Mitch
russell,Russell
möten,Meetings
polarn,Polarn
orättvist,unfair
tvekan,hesitation
alexander,Alexander
göm,hide
förväntade,expected
kamrat,companion
avundsjuk,jealous
vintern,Winter
såra,hurt
skrivbord,desk
blåsa,blow
puss,kiss
blick,glance
intresserade,Interested
goddag,good day
sparkade,kicked
skojade,joked
hill,Hill
sänk,Lower
dödas,be killed
connor,Connor
följande,following
översten,Colonel
hamnen,The harbor
hästarna,The horses
bytt,Swap
satsar,bets
holly,Holly
vanligtvis,usually
begå,commit
skett,happened
armarna,The arms
förgöra,Destroy
civila,civilian
jordens,Earth's
risker,risks
tekniskt,Technically
samlas,gather
tänd,Light
stefan,Stefan
demon,demon
orsaka,cause
vänstra,left
diana,Diana
barnvakt,baby-sitter
stenen,The stone
skämmas,be ashamed
skylla,blame
väst,west
styrelsen,The Board
kameror,cameras
antog,adopted
bibeln,The Bible
attackerade,attacked
enormt,Huge
förbjudet,forbidden
körkort,driving license
reaktion,reaction
princip,principle
tvingas,forced
smartare,Smarter
vampyr,vampire
personlig,personal
slaget,the battle
cameron,Cameron
fruktar,fears
medlemmar,Members
christian,Christian
förbli,remain
tjänade,earned
lillebror,Little brother
universitetet,the university
kusten,The coast
plånbok,wallet
afton,Evening
varelser,creatures
olycklig,unhappy
nolla,zero
sort,variety
river,River
gryningen,Dawn
sökt,searched
francis,Francis
utnyttjar,exploits
tiger,Tiger
knappen,the button
brittiska,British
elaka,evil
super,super
sebastian,Sebastian
kissa,Pee
huvudvärk,headache
sonen,The son
främlingar,strangers
orsakar,causing
njuter,Enjoying
ämne,subject
skedde,happened
mask,mask
farsa,dad
biblioteket,The library
vagnen,The trolley
proffs,pro
las,las
sjöng,sang
generalen,General
monica,Monica
kaffet,The coffee
kent,Kent
öh,oh
lager,stock
ty,for
slump,coincidence
rulla,roll
poolen,The pool
avstängd,turned off
övertygad,convinced
lyda,obey
dick,Dick
sliter,Wear
sköts,was shot
phoebe,Phoebe
sparkar,kicks
moder,mother
lastbil,truck
francisco,Francisco
dröjer,delay
tak,ceiling
caroline,Caroline
rejält,Real
penis,penis
överlevande,survivors
tina,thaw
gällde,applied
militär,military
resurser,resources
längesen,long ago
förbannelse,curse
mött,Met
spanien,Spain
oerhört,Extremely
väcker,awaken
satans,Satans
befäl,command
grand,Grand
öva,practice
juryn,The jury
butiken,The store
slösar,wastes
ägde,Owned
lyssnat,Listened
nyheten,The news
vampyrer,Vampires
ronnie,Ronnie
läppar,lips
räknade,counted
tillåtelse,permission
oktober,October
sänka,lower
kenny,Kenny
boll,ball
chock,shock
representerar,represents
version,version
tara,tare
varnar,Warns
sårade,wounded
skötte,handled
ungdomar,Young people
byggnad,building
fascinerande,fascinating
indien,India
beundrar,admires
prat,talk
förmögenhet,fortune
mata,feed
snygging,hottie
hjältar,heroes
slav,slave
politiska,Political
falskt,False
fältet,the field
uniform,uniform
ammunition,ammunition
quinn,Quinn
fiskar,fish
drinkar,Drinks
sprider,spreads
begått,committed
ann,Ann
lektion,lesson
samband,connection
fs56,FS56
isen,the ice
striden,The battle
beställde,Ordered
förtjusande,adorable
återgå,revert
mönster,pattern
oro,concern
smutsiga,dirty
träden,The trees
mörker,darkness
bet,bet
politiker,Politician
tävlingen,The competition
uppleva,experience
stiga,rise
tjänster,services
gus,Gus
låser,Locks
dexter,Dexter
namnen,the names
säkerheten,the security
cm,cm
gottgöra,make up
damerna,The ladies
muren,the wall
justin,Justin
imorse,this morning
soppa,soup
elever,pupils
förbereder,Prepares
ian,Ian
varma,hot
slagsmål,fight
drömma,dream
öronen,The ears
trevliga,Nice
tuttar,tits
advokaten,the lawyer
konto,account
bevara,preserve
b.,b.
story,story
projektet,The project
murphy,Murphy
ali,Ali
vittnesmål,testimony
säkrare,Safer
borgen,bail
allierade,Allies
tunneln,The tunnel
födelsedagen,The birthday
nat,Nat
äh,ÄH
slutligen,finally
ogillar,Disliked
såklart,of course
dödens,Death
axel,shoulder
sekreterare,Secretary
officer,officer
finn,Finn
räknat,counted
mickey,Mickey
besättningen,The crew
besökare,Visitors
spendera,spend
stjärnor,Stars
natur,nature
et,et
kön,sex
gillat,Liked
dana,fashion
gosse,Boy
korta,Short
shaw,Shaw
one,one
margaret,Margaret
station,station
blicken,The look
rövhål,asshole
hamnat,ended up
attacken,the attack
spåren,the tracks
önskade,Wanted
lediga,available
moskva,Moscow
it,It
rapporter,reports
bröderna,The brothers
tysk,German
jean,Jean
prinsessa,princess
start,Start
upprepa,repeat
intill,next to
garderoben,the wardrobe
rollen,The role
schysst,nice
livets,Life
me,Me
ondska,evil
märka,notice
osäker,uncertain
utifrån,from
matchar,matches
vana,habit
cykel,bike
demoner,demons
enheter,units
piper,Piper
hatten,The hat
geväret,The rifle
mannar,men
jersey,Jersey
lekte,Played
pekar,points
konstnär,artist
källan,the source
tillåta,allow
flykt,escape
ignorera,ignore
fegis,Fegis
dale,Dale
skilsmässa,Divorce
journalist,journalist
manny,Manny
passera,Pass
fadern,Father
täckmantel,cover
verktyg,tool
riley,Riley
paketet,the package
