German,English
gefeuert,fired
erinnerungen,memories
müssten,would have to
suchst,look for
fährst,ferry
kochen,cook
schwach,weak
schreibt,writes
schulden,debts
hinein,in
simon,Simon
grenze,border
braut,bride
gebraucht,needed
peinlich,awkward
klappt,works
geheimnisse,secrecy
joey,joey
aufmerksamkeit,attention
form,shape
umsonst,for free
kennenzulernen,get to know
überlebt,survived
nirgendwo,nowhere
meilen,miles
einfacher,easier
blöde,stupid
mond,moon
ergibt,results in
daten,data
merken,notice
schande,shame
fuck,fuck
fühlte,felt
jenny,Jenny
sieg,victory
satt,Fed up
blödsinn,nonsense
adam,Adam
lisa,lisa
pfund,Pound
handeln,act
lois,loan
enden,end up
warm,warm
raten,guess
übersetzung,translation
kunst,art
kapitän,captain
desto,the more
einsatz,mission
schweigen,be silent
krankheit,illness
toller,great
schatten,shadow
wachen,wake up
tatsache,fact
eric,Eric
stock,floor
chief,chief
hingehen,go there
verboten,forbidden
gäbe,gave
anzug,men's suit
leichen,corpses
high,high
beendet,completed
freitag,Friday
million,million
verflucht,cursed
dunkel,dark
geb,born
enttäuscht,disappointed
klopfen,beat
spuren,sense
dreck,dirt
seiten,pages
mühe,effort
gezogen,pulled
brian,Brian
kontrollieren,check
knochen,bone
schick,chic
getrennt,separated
programm,program
grab,dig
ebenso,as well
trage,sluggish
nachbarn,neighbors
bieten,offer
bestes,best
elizabeth,Elizabeth
fuhr,drove
verlässt,leaves
freundlich,friendly
dennoch,nonetheless
rauchen,smoke
dick,thick
stuhl,chair
dreh,rotation
bester,best
schicke,chic
vergeben,forgive
ausgehen,go out
behandeln,treat
trotz,despite
gast,guest
ändert,changes
passierte,passed
toilette,Toilet
annehmen,assume
herzlichen,cordial
hexe,witch
erwachsen,adult
jerry,Jerry
pistole,gun
saß,sat
dreht,turns
aussage,expression
liebte,loved
street,street
genießen,enjoy
eifersüchtig,jealous
derjenige,the one
teuer,expensive
leo,Leo
zähne,teeth
beobachtet,observed
gentlemen,gentlemen
wählen,choose
helft,help
fliegt,flies
theater,theatre
regen,rain
feinde,enemies
william,William
erlauben,allow
zulassen,allow
schnappen,snap
komplett,completely
panik,panic
flughafen,airport
bewusst,consciously
deutschen,German
voraus,in advance
sterbe,die
solltet,should
begleiten,accompany
einander,each other
fred,fred
erlebt,experienced
weiterhin,furthermore
stärker,stronger
fahrer,driver
konzentrieren,focus
streiten,argue
angeht,matters
selben,the same
star,star
überzeugen,convince
alkohol,alcohol
übersetzt,translated
verrückte,crazy
lch,lch
king,king
begann,started
angenommen,assumed
weitermachen,keep going
echter,real
jackson,Jackson
post,post
mitgenommen,withdrawn
botschaft,message
ideen,ideas
fehlen,miss
aufgeregt,upset
selbstmord,Suicide
dumme,stupid
zurückkommen,Come back
irgendein,any
magie,magic
phil,phil
schlage,stroke
handelt,act
treffe,meet
untersuchen,investigate
flucht,escape
verliert,losing
irgendeine,any
gegenteil,opposite
betrifft,regards
scharf,sharp
gehofft,hoped
kennengelernt,met
schlimmste,worst
projekt,Project
trottel,Fool
immerhin,anyway
mehrere,several
erwarte,expect
mochte,want
schwimmen,to swim
zählen,to count
innerhalb,within
matt,frosted
blind,blind
schwestern,sisters
code,code
alan,alan
schlau,clever
absicht,intention
barry,barry
spielst,play
zuletzt,last
oliver,Oliver
art.,Art.
englisch,English
ohr,ear
verletzen,injure
song,song
schüler,pupils
schien,seem
gewinnt,wins
älter,older
merkwürdig,unusual
judy,Judy
vermisse,miss
größe,size
tritt,kick
trauen,trust
präsidenten,president
trick,trick
harvey,Harvey
doug,though
roten,redden
überlegt,careful
größten,biggest
sonntag,Sunday
zwölf,twelve
vorstellung,performance
schrieb,wrote
reinkommen,get in
killer,killer
unterstützung,support
antun,do
rechnung,invoice
dieselbe,the same
verändern,change
möglicherweise,possibly
definitiv,definitely
locker,relaxed
ed,Ed
vincent,vincent
ums,around
abends,at evening
frisch,fresh
kohle,money
fing,caught
hure,whore
cousin,cousin
familien,Familys
einsam,lonely
lebendig,lively
heiligen,sacred
knapp,meager
ebenfalls,also
überprüft,checked
artikel,article
gesetzt,set
jederzeit,at any time
kompliziert,complicated
spüren,sense
signal,signal
amy,Amy
stich,Sting
kino,movie theater
probieren,try out
tode,Deaths
wundervoll,wonderful
tanz,dance
geöffnet,open
kerle,guy
begraben,to bury
prozent,percent
stoppen,to stop
hoheit,sovereignty
riesen,Giants
rote,Red
zugang,access
liest,reads
vorn,front
wichtige,important
aufmachen,open up
kelly,Kelly
sexy,sexy
erlaubnis,permission
grace,grace
big,big
story,story
madam,madam
leichter,lighter
halben,half
filme,films
priester,priest
herauszufinden,find out
packen,pack
dritte,third
inzwischen,in the meantime
larry,larry
presse,Press
sitze,seats
machten,made
geklaut,Stolen
helden,hero
susan,Susan
geduld,patience
bühne,stage
reparieren,repair
hä,huh
usa,USA
gerechtigkeit,justice
fälle,cases
selten,rarely
anrufe,Calls
unterschreiben,sign
julia,Julia
drücken,press
mrs,MRS
lügner,liar
endet,ends
dave,Dave
medizin,medicine
schreibe,write
verhaften,to arrest
prozess,process
samstag,Saturday
amen,Amen
motor,engine
marie,Marie
abhauen,run away
chaos,chaos
schönheit,beauty
beinahe,nearly
lebst,live
tolles,great
anhalten,stop
fremden,strange
hof,court
akzeptieren,accept
norden,north
ärzte,doctors
anziehen,put on 
dingen,things; matters
umgehen,evade
bauch,belly
gesamte,entire
hübsche,pretty
ertragen,bear
kiste,box
brennt,burning
teile,parts
deckung,cover
landen,land
berg,mountain
straßen,street
aufgenommen,recorded
gerufen,called
untersuchung,investigation
alarm,alarm
blieb,remained
vertraue,trust
extra,extra
entspann,relaxed
beobachten,observe
eindruck,impression
tschüs,bye
babys,Babies
wehtun,hurt
zog,pulled
iss,eat
herrgott,god
echten,real
springen,jump
nackt,naked
existiert,existed
befreien,to free
gerät,device
montag,Monday
gezwungen,forced
perfekte,perfect
erzählst,telling
bastard,bastard
interessieren,interest
schlechten,bad
hank,hank
steigt,increases
st.,st.
on,on
carl,carl
gekriegt,scratched
fliehen,flee
trug,wore
freundschaft,Friendship
rate,rate
papiere,papers
abgeschlossen,completed
schnauze,snout
beruf,profession
gebiet,area
jeff,Jeff
jedoch,however
beten,pray
verbunden,tied together
sprachen,languages
verräter,traitor
wichtigste,most important
prost,Bottom up
brust,breast
aufgehört,stopped
kleider,dresses
jacke,jacket
bestellt,ordered
herkommen,come here
wild,wild
nenne,call
angesehen,viewed
zuhören,listen
trennen,separate
schlafzimmer,bedroom
vorschlag,suggestion
meins,mine
gift,poison
ton,volume
vermissen,miss
angekommen,arrived
beantworten,answer
deutlich,clearly
träumen,dream
verwirrt,confused
akten,files
riskieren,take risk
b,B
victor,Victor
find,find
erkannt,recognized
beerdigung,burial
müll,garbage
weisst,know
möge,may
stellte,stood
mitte,center
erleben,experience
geburt,birth
decke,ceiling
ch00ffff,ch00ffff
wege,ways
schritte,steps
gibts,is there
gemeldet,reported
hilfst,help
mittagessen,lunch
weint,cries
vernichten,destroy
rock,skirt
chicago,Chicago
ellen,ellen
crew,crew
roy,roy
türen,doors
gewehr,gun
elena,Elena
arbeitete,worked
spiegel,mirror
hauen,hit
geraten,devices
dritten,third
ross,Horse
julie,Julie
wetter,weather
schwul,gay
regel,rule
befindet,located
einheit,unit
german,German
armer,poor
gucken,look
anstatt,instead of
champagner,champagne
gründe,reasons
strafe,penalty
smith,Smith
öfter,more often
anne,Anne
zelle,cell
langen,long
altes,old one
ruiniert,ruined
jonathan,Jonathan
kleidung,clothing
gras,grass
kenn,recognition
agenten,agent
herausgefunden,found out
annie,Annie
rechten,right
brot,bread
berlin,Berlin
erfreut,delighted
lügt,lies
nehm,take
harte,hardness
staaten,states
station,station
gaben,gifts
hinterher,after
verpassen,miss
geholt,fetched
jesse,Jesse
hemd,shirt
trinke,drink
klären,clear up
praktisch,practical
theorie,theory
zunge,tongue
notfall,emergency
besseren,better
winter,winter
c,C
versuchst,attempted
dahinter,behind it
schwere,severity
feuern,to fire
lucy,Lucy
schießt,shoot
anführer,leader
schief,wrong
blau,blue
bestens,best
wartest,waiting
gehts,go
morgan,Morgan
unrecht,wrong
leck,leak
wonach,what
entwickelt,developed
bedeutung,meaning
strom,electricity
krebs,cancer
gemein,mean
wessen,whose
minister,minister
lhnen,wage
quelle,source
zahl,number
schiffe,Ships
schüsse,shots
bricht,breaks
talent,talent
spitze,great
fernseher,TV
treiben,to drive
ausgezeichnet,excellent
tatort,crime scene
möglichkeiten,possibilities
trinkt,drink
esse,eat
cop,cop
details,details
täter,perpetrator
wahren,faith
dieb,thief
offiziell,officially
dienen,serve
westen,west
entscheidungen,decisions
dauernd,constant
geschmack,taste
gegenseitig,each other
gewählt,chosen
charlotte,Charlotte
pech,bad luck
verteidigen,defend
schauspieler,actor
personen,persons
überlassen,leave
publikum,audience
trägst,wearing
wechseln,change
begegnet,met
betrogen,cheated
besucht,visited
vertrau,confidence
europa,Europe
carrie,carrie
patrick,Patrick
deutschland,Germany
süßer,cutie pie
loswerden,Get rid of
melde,report
maggie,Maggie
bestätigt,confirmed
gas,gas
sturm,storm
setze,setting
briefe,letters
null,zero
penny,penny
schlafe,sleep
wirken,works
geführt,guided
starten,start
götter,gods
festhalten,hold onto
geheim,secret
übergeben,hand over
cia,CIA
abteilung,department
papier,paper
wetten,betting
gefolgt,followed
verschiedene,different
gleichzeitig,at the same time
genie,genius
hungrig,hungry
inspektor,inspector
zwingen,force
atmet,breath
kuh,cow
unterstützen,support
geworfen,thrown
verlor,lost
süden,south
pater,faster
menschheit,humanity
versteck,hiding place
tötete,killed
fähigkeiten,skills
beruhigt,calmed down
rechtzeitig,punctual
streng,strictly
sendung,broadcast
gelebt,lived
treppe,stairs
kim,kim
richtiger,more correctly
aufnehmen,to record
wolf,wolf
pa,Pa
öffnet,opens
dämon,demon
wut,fury
schlange,snake
medikamente,medication
geschenkt,gifted
nenn,call
gelegt,placed
anfassen,touch
pizza,Pizza
schlechtes,bad
hütte,hut
mantel,a coat
behauptet,alleged
kilometer,kilometre
beeilung,hustle and bustle
angeblich,allegedly
reiten,ride
helen,Helen
mittag,midday
gewarnt,warned
wohne,live
las,read
dunkelheit,Darkness
spazieren,stroll
angel,fishing rod
hiermit,herewith
schließt,closes
phoebe,phoebe
vieles,a lot
erfüllt,Fulfills
tausend,thousand
sack,bag
eindeutig,clearly
unterhaltung,entertainment
gründen,found
km,km
zugeben,admit
mittel,medium
explosion,explosion
gefangenen,prisoner
taylor,Taylor
frische,freshness
verdächtigen,suspect
neugierig,curious
leitung,line
kennenlernen,get to know
fliege,Fly
lebte,lived
menschliche,human
anderem,other
auseinander,apart
fressen,eat
beides,both
ficken,fuck
stoff,material
spüre,feel
eilig,hurry
stammt,comes
vorgestellt,presented
linda,Linda
welch,what
wichtiges,important
no,NO
gehörte,heard
mhm,mhm
glaubte,believed
oberst,colonel
schrank,wardrobe
fremde,stranger
gnade,grace
chloe,chloe
yo,yo
entspannen,relax
virus,virus
schläfst,asleep
einladung,invitation
krieger,warrior
vernünftig,reasonable
fein,fine
greifen,grab
whoa,whoaa
kyle,kyle
schickte,sent
per,by
mitglied,member
einziger,only
umzubringen,kill
zurückkehren,to return
feld,field
mexiko,Mexico
erschaffen,create
information,information
hergekommen,came here
beweg,movement
stärke,strength
vermögen,assets
verbracht,spent
gewisse,certain
waschen,wash
howard,Howard
staat,Country
geister,ghost
behaupten,claim
schrei,Scream
würdet,would
vögel,birds
warnen,to warn
albert,albert
chancen,opportunities
treibt,drives
nannte,called
vermute,suspect
mitternacht,midnight
jones,Jones
freundinnen,girlfriend
lecker,yummy
klinik,clinic
dicht,densely
befinden,condition
ließen,leave
bürger,citizens
verursacht,caused
hammer,hammer
klang,sound
internet,Internet
aufregend,exciting
grenzen,boundaries
politik,politics
superman,superman
zurecht,rightly
besitz,possession
cops,cops
eingesperrt,locked
irren,be wrong
kommando,command
schlug,struck
krankenwagen,ambulance
love,love
öffne,open
karen,Karen
richten,judge
mademoiselle,Mademoiselle
erfunden,invented
schnee,snow
fühl,feel
behalte,keep
beschützt,protected
punkte,Points
entfernen,remove
abgehauen,escape
geträumt,dreamy
stefan,Stefan
dämonen,demons
tränen,tears
erfolgreich,successful
volle,full
wilson,Wilson
caroline,Caroline
höher,higher
happy,happy
brille,glasses
musstest,must
heimat,hometown
terry,terry
liebsten,loved one
bye,bye
leiter,director
sean,Sean
kauf,purchase
spinnst,crash
werk,plant
cent,cent
schlacht,battle
beziehungen,Relationships
abgemacht,made
schreie,scream
hmm,hmm
bestätigen,confirm
erschreckt,frightened
offizier,officer
that,that
sara,Sara
affäre,affair
empfangen,received
zweck,purpose
kämpfe,battles
ergeben,result
china,China
fange,cunning
häuser,Houses
verliere,lose
gedanke,thought
tausende,thousands
heutzutage,nowadays
gefühlt,felt
schnitt,cut
carlos,Carlos
harold,Harold
lebend,live
real,real
holz,wood
kaiser,Emperor
spielte,played
begonnen,began
ziehst,pull
gelandet,landed
scheidung,divorce
bart,beard
beschlossen,decided
klo,loo
riechen,smell
vergisst,forgets
begeistert,enthusiastic
ei,egg
durchs,through
geil,cool
nieder,low
erkläre,explain
schreckliche,terrible
beeindruckt,impressed
vince,vince
aufgegeben,given up
aufgrund,because of
momentan,at the moment
solch,such
meistens,mostly
stress,stress
sterne,Stars
heilen,heal
soviel,so much
kannten,knew
stattdessen,instead
aye,Aye
dinger,things
stimmung,mood
bulle,bull
aufgefallen,noted
kämpft,fights
geräusch,noise
künstler,Artist
wachsen,grow
verurteilt,sentenced
himmels,heaven
tyler,tyler
urteil,verdict
schweine,pigs
nettes,nice
house,house
verlust,loss
verließ,left
wirf,throw
wenige,few
willie,Willie
schulter,shoulder
kalifornien,California
lernt,learns
beigebracht,taught
normale,normal
anbieten,offer
verwenden,use
gratuliere,congratulate
fluch,curse
rick,rick
übers,about
grün,green
unterricht,instruction
dachtest,thought
verarschen,fuck
gewöhnt,used
anklage,accusation
tollen,rip
lippen,lips
fett,fat
lege,lay
feigling,coward
achten,regard
gary,Gary
erfährt,experienced
gewohnt,used
jessica,Jessica
äußerst,extremely
einladen,invite
käse,cheese
aufwachen,wake up
verfügung,disposal
uniform,uniform
zusehen,watch
board.tv4user.de,board.tv4user.de
gesundheit,health
abenteuer,adventure
hosen,pants
kurze,short
scheck,check
täglich,daily
fresse,face
übernehme,take over
wiederholen,repeat
bestellen,order
freiwillig,voluntarily
cole,cole
universum,universe
zeuge,witness
west,west
marshall,Marshall
fähig,capable
revier,territory
reifen,tires
mum,mum
führe,lead
durchgemacht,through
tests,Testing
führte,led
schenken,give
schädel,skull
realität,reality
April,April
albern,silly
brav,well-behaved
schwerer,more difficult
jagd,hunt
versagt,failed
